tid,r,l,t,s,i,a,g,f
7,50186.624508,1025,72.047979,0,3381,Handle-grasp,poPmAb25,time out
7,166119.188624,1009,124.525698,1,3381,Handle-grasp,poPmAb25,success
7,53581.471677,1025,178.038942,0,3381,Handle-grasp,poPmAb25,time out
7,97727.204306,1020,237.497816,0,3381,Handle-grasp,poPmAb25,slipped
7,51131.834045,1025,291.985463,0,3381,Handle-grasp,poPmAb25,time out
7,50168.45439,951,335.867539,0,3381,Handle-grasp,poPmAb25,out of range
7,95566.733998,795,383.886251,0,3381,Handle-grasp,poPmAb25,slipped
7,48444.727505,1025,436.848552,0,3381,Handle-grasp,poPmAb25,time out
7,48790.005752,1025,490.006019,0,3381,Handle-grasp,poPmAb25,time out
7,46066.319051,1025,542.893985,0,3381,Handle-grasp,poPmAb25,time out
7,139577.626468,498,575.1922,1,3381,Handle-grasp,poPmAb25,success
7,170411.182347,1006,628.103661,1,3381,Handle-grasp,poPmAb25,success
7,144701.314498,569,662.806126,1,3381,Handle-grasp,poPmAb25,success
7,136954.168003,426,692.883849,1,3381,Handle-grasp,poPmAb25,success
7,164955.964027,999,743.476676,1,3381,Handle-grasp,poPmAb25,success
7,50093.375949,1025,796.542273,0,3381,Handle-grasp,poPmAb25,time out
7,136958.291943,369,822.231553,1,3381,Handle-grasp,poPmAb25,success
7,157028.861612,821,866.185394,1,3381,Handle-grasp,poPmAb25,success
7,156190.727268,738,906.634903,1,3381,Handle-grasp,poPmAb25,success
7,145155.235474,546,940.293935,1,3381,Handle-grasp,poPmAb25,success
7,144260.933842,564,975.802531,1,3381,Handle-grasp,poPmAb25,success
7,147817.700023,508,1007.365704,1,3381,Handle-grasp,poPmAb25,success
7,141128.375626,481,1039.405963,1,3381,Handle-grasp,poPmAb25,success
7,133472.604851,324,1065.108819,1,3381,Handle-grasp,poPmAb25,success
7,139580.677769,436,1094.292696,1,3381,Handle-grasp,poPmAb25,success
7,149844.795257,491,1124.348575,1,3381,Handle-grasp,poPmAb25,success
7,139834.134857,480,1157.83162,1,3381,Handle-grasp,poPmAb25,success
7,135278.906414,361,1185.551605,1,3381,Handle-grasp,poPmAb25,success
7,88349.110257,1025,1229.708235,0,3381,Handle-grasp,poPmAb25,time out
7,137915.46663,407,1257.375543,1,3381,Handle-grasp,poPmAb25,success
7,148337.074017,492,1286.463953,1,3381,Handle-grasp,poPmAb25,success
7,179808.622782,754,1325.044585,1,3381,Handle-grasp,poPmAb25,success
7,140048.030284,384,1353.941776,1,3381,Handle-grasp,poPmAb25,success
7,133965.397445,344,1379.909559,1,3381,Handle-grasp,poPmAb25,success
7,136911.767905,384,1407.142364,1,3381,Handle-grasp,poPmAb25,success
7,133836.630251,332,1433.775318,1,3381,Handle-grasp,poPmAb25,success
7,135609.442648,351,1460.93939,1,3381,Handle-grasp,poPmAb25,success
7,133059.479704,340,1487.791124,1,3381,Handle-grasp,poPmAb25,success
7,132347.704732,327,1514.248965,1,3381,Handle-grasp,poPmAb25,success
7,137966.713951,391,1541.83353,1,3381,Handle-grasp,poPmAb25,success
7,134636.15993,352,1566.995221,1,3381,Handle-grasp,poPmAb25,success
7,147225.659458,453,1594.353151,1,3381,Handle-grasp,poPmAb25,success
7,132818.585951,328,1619.683364,1,3381,Handle-grasp,poPmAb25,success
7,133124.764676,325,1644.27112,1,3381,Handle-grasp,poPmAb25,success
7,135006.403095,352,1670.032437,1,3381,Handle-grasp,poPmAb25,success
